"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\icons\svgs\Vector.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\add-circle.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\archive-tick.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\archive-tick2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\arrow-left.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\battery-full.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\buliding (1).svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\1-git\prod\dev-soodam\src\icons\svgs\buliding.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\1-git\prod\dev-soodam\src\icons\svgs\button.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"d:\1-git\prod\dev-soodam\src\icons\svgs\calendar-search.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\1-git\prod\dev-soodam\src\icons\svgs\calendar-tick.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\1-git\prod\dev-soodam\src\icons\svgs\calendar.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\1-git\prod\dev-soodam\src\icons\svgs\call.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\camera-small.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\camera.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\camera2.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\card-tick.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\chage.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\1-git\prod\dev-soodam\src\icons\svgs\change.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\1-git\prod\dev-soodam\src\icons\svgs\check.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\clock2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\close-circle.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\eye.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\gear-settings.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\gps.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\1-git\prod\dev-soodam\src\icons\svgs\grid-2.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\headphone.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\heart 1.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\1-git\prod\dev-soodam\src\icons\svgs\home-2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\home.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\hospital.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\house.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\1-git\prod\dev-soodam\src\icons\svgs\info-circle (1).svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\info-circle.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\location.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\location2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\location22.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\locationred.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\logout.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\map (1).svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\map copy.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\map.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\menu.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\mirror (1).svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
